Seq. ID.	Class	AMP Probability
PROTEIN_3106	NAMP	0.38
PROTEIN_3107	AMP	0.95
PROTEIN_3108	NAMP	0.12
PROTEIN_3109	AMP	0.95
PROTEIN_3110	AMP	0.68
PROTEIN_3111	AMP	0.87
PROTEIN_3112	NAMP	0.29
PROTEIN_3113	NAMP	0.03
PROTEIN_3114	NAMP	0.16
PROTEIN_3115	AMP	0.92
PROTEIN_3116	AMP	0.64
PROTEIN_3117	AMP	0.90
PROTEIN_3118	NAMP	0.09
PROTEIN_3119	NAMP	0.41
PROTEIN_3120	AMP	0.93
PROTEIN_3121	AMP	0.98
PROTEIN_3122	AMP	0.92
PROTEIN_3123	AMP	0.91
PROTEIN_3124	AMP	0.73
PROTEIN_3125	AMP	0.76
PROTEIN_3126	NAMP	0.36
PROTEIN_3127	AMP	0.68
PROTEIN_3128	AMP	0.91
PROTEIN_3129	NAMP	0.30
PROTEIN_3130	AMP	0.74
PROTEIN_3131	NAMP	0.45
PROTEIN_3132	AMP	0.98
PROTEIN_3133	AMP	0.96
PROTEIN_3134	AMP	0.95
PROTEIN_3135	AMP	0.86
PROTEIN_3136	NAMP	0.07
PROTEIN_3137	AMP	0.96
PROTEIN_3138	AMP	0.56
PROTEIN_3139	AMP	0.66
PROTEIN_3140	AMP	0.58
PROTEIN_3141	NAMP	0.25
PROTEIN_3142	AMP	0.76
PROTEIN_3143	AMP	0.99
PROTEIN_3144	AMP	0.98
PROTEIN_3145	AMP	1.00
PROTEIN_3146	AMP	0.59
PROTEIN_3147	NAMP	0.27
PROTEIN_3148	NAMP	0.08
PROTEIN_3149	AMP	0.94
PROTEIN_3150	NAMP	0.34
PROTEIN_3151	AMP	0.99
PROTEIN_3152	AMP	0.93
PROTEIN_3153	AMP	0.99
PROTEIN_3154	NAMP	0.15
PROTEIN_3155	AMP	0.61
PROTEIN_3156	NAMP	0.41
PROTEIN_3157	AMP	0.76
PROTEIN_3158	AMP	0.99
PROTEIN_3159	AMP	0.91
PROTEIN_3160	AMP	0.88
PROTEIN_3161	AMP	0.93
PROTEIN_3162	AMP	0.78
PROTEIN_3163	AMP	0.95
PROTEIN_3164	NAMP	0.32
PROTEIN_3165	AMP	0.98
PROTEIN_3166	NAMP	0.48
PROTEIN_3167	AMP	0.99
PROTEIN_3168	AMP	0.88
PROTEIN_3169	AMP	0.94
PROTEIN_3170	NAMP	0.21
PROTEIN_3171	AMP	0.63
PROTEIN_3172	AMP	0.61
PROTEIN_3173	AMP	0.86
PROTEIN_3174	AMP	0.72
PROTEIN_3175	AMP	0.85
PROTEIN_3176	NAMP	0.16
PROTEIN_3177	AMP	0.61
PROTEIN_3178	NAMP	0.45
PROTEIN_3179	AMP	0.80
PROTEIN_3180	AMP	0.91
PROTEIN_3181	AMP	0.76
PROTEIN_3182	NAMP	0.12
PROTEIN_3183	AMP	0.63
PROTEIN_3184	NAMP	0.27
PROTEIN_3185	AMP	0.88
PROTEIN_3186	AMP	0.64
PROTEIN_3187	AMP	0.94
PROTEIN_3188	AMP	0.79
PROTEIN_3189	NAMP	0.20
PROTEIN_3190	NAMP	0.47
PROTEIN_3191	NAMP	0.01
PROTEIN_3192	NAMP	0.01
PROTEIN_3193	AMP	0.74
PROTEIN_3194	NAMP	0.01
PROTEIN_3195	NAMP	0.02
PROTEIN_3196	NAMP	0.48
PROTEIN_3197	AMP	0.87
PROTEIN_3198	AMP	0.96
PROTEIN_3199	NAMP	0.12
PROTEIN_3200	NAMP	0.19
PROTEIN_3201	NAMP	0.02
PROTEIN_3202	AMP	0.76
PROTEIN_3203	AMP	0.99
PROTEIN_3204	AMP	0.82
PROTEIN_3205	AMP	0.90
PROTEIN_3206	AMP	0.96
PROTEIN_3207	AMP	0.98
PROTEIN_3208	NAMP	0.47
PROTEIN_3209	AMP	0.98
PROTEIN_3210	NAMP	0.32
PROTEIN_3211	NAMP	0.05
PROTEIN_3212	AMP	0.85
PROTEIN_3213	AMP	0.89
PROTEIN_3214	AMP	0.89
PROTEIN_3215	AMP	0.74
PROTEIN_3216	AMP	0.72
PROTEIN_3217	NAMP	0.15
PROTEIN_3218	AMP	0.86
PROTEIN_3219	AMP	0.51
PROTEIN_3220	AMP	0.63
PROTEIN_3221	AMP	0.99
PROTEIN_3222	NAMP	0.07
PROTEIN_3223	AMP	0.63
PROTEIN_3224	NAMP	0.47
PROTEIN_3225	AMP	0.97
PROTEIN_3226	NAMP	0.24
PROTEIN_3227	AMP	0.73
PROTEIN_3228	AMP	0.91
PROTEIN_3229	NAMP	0.47
PROTEIN_3230	AMP	0.55
PROTEIN_3231	NAMP	0.00
PROTEIN_3232	NAMP	0.49
PROTEIN_3233	AMP	0.69
PROTEIN_3234	NAMP	0.33
PROTEIN_3235	AMP	0.98
PROTEIN_3236	AMP	0.53
PROTEIN_3237	AMP	0.90
PROTEIN_3238	AMP	0.97
PROTEIN_3239	AMP	0.85
PROTEIN_3240	AMP	0.96
PROTEIN_3241	AMP	0.96
PROTEIN_3242	NAMP	0.02
PROTEIN_3243	NAMP	0.01
PROTEIN_3244	NAMP	0.09
PROTEIN_3245	NAMP	0.00
PROTEIN_3246	NAMP	0.45
PROTEIN_3247	AMP	0.88
PROTEIN_3248	NAMP	0.16
PROTEIN_3249	AMP	0.74
PROTEIN_3250	NAMP	0.03
PROTEIN_3251	AMP	0.98
PROTEIN_3252	AMP	0.84
PROTEIN_3253	AMP	0.95
PROTEIN_3254	AMP	0.70
PROTEIN_3255	NAMP	0.14
PROTEIN_3256	NAMP	0.31
PROTEIN_3257	AMP	0.73
PROTEIN_3258	AMP	0.89
PROTEIN_3259	NAMP	0.19
PROTEIN_3260	NAMP	0.16
PROTEIN_3261	NAMP	0.29
PROTEIN_3262	AMP	0.89
PROTEIN_3263	AMP	0.73
PROTEIN_3264	AMP	0.92
PROTEIN_3265	AMP	0.80
PROTEIN_3266	AMP	0.61
PROTEIN_3267	AMP	0.66
PROTEIN_3268	AMP	0.89
PROTEIN_3269	NAMP	0.16
PROTEIN_3270	NAMP	0.31
PROTEIN_3271	NAMP	0.36
PROTEIN_3272	AMP	0.76
PROTEIN_3273	AMP	0.78
PROTEIN_3274	NAMP	0.01
PROTEIN_3275	AMP	0.97
PROTEIN_3276	AMP	0.86
PROTEIN_3277	AMP	0.87
PROTEIN_3278	AMP	0.59
PROTEIN_3279	NAMP	0.46
PROTEIN_3280	NAMP	0.08
PROTEIN_3281	AMP	0.88
PROTEIN_3282	NAMP	0.24
PROTEIN_3283	NAMP	0.35
PROTEIN_3284	NAMP	0.15
PROTEIN_3285	AMP	0.77
PROTEIN_3286	AMP	0.77
PROTEIN_3287	NAMP	0.11
PROTEIN_3288	AMP	0.92
PROTEIN_3289	AMP	0.75
PROTEIN_3290	AMP	0.57
PROTEIN_3291	AMP	0.86
PROTEIN_3292	NAMP	0.48
PROTEIN_3293	AMP	0.64
PROTEIN_3294	AMP	0.80
PROTEIN_3295	NAMP	0.45
PROTEIN_3296	AMP	0.85
PROTEIN_3297	AMP	0.88
PROTEIN_3298	AMP	0.89
PROTEIN_3299	NAMP	0.25
PROTEIN_3300	AMP	0.56
PROTEIN_3301	AMP	0.85
PROTEIN_3302	AMP	0.93
PROTEIN_3303	AMP	0.95
PROTEIN_3304	AMP	0.56
PROTEIN_3305	NAMP	0.03
PROTEIN_3306	AMP	0.92
PROTEIN_3307	NAMP	0.15
PROTEIN_3308	AMP	0.96
PROTEIN_3309	NAMP	0.42
PROTEIN_3310	AMP	0.94
PROTEIN_3311	AMP	1.00
PROTEIN_3312	AMP	0.95
PROTEIN_3313	AMP	0.99
PROTEIN_3314	AMP	0.95
PROTEIN_3315	NAMP	0.06
PROTEIN_3316	AMP	0.97
PROTEIN_3317	NAMP	0.45
PROTEIN_3318	AMP	0.93
PROTEIN_3319	NAMP	0.02
PROTEIN_3320	AMP	0.88
PROTEIN_3321	AMP	0.98
PROTEIN_3322	AMP	0.62
PROTEIN_3323	AMP	0.73
PROTEIN_3324	AMP	0.95
PROTEIN_3325	NAMP	0.45
PROTEIN_3326	AMP	0.77
PROTEIN_3327	NAMP	0.42
PROTEIN_3328	AMP	0.56
PROTEIN_3329	AMP	0.78
PROTEIN_3330	AMP	0.82
PROTEIN_3331	NAMP	0.19
PROTEIN_3332	NAMP	0.02
PROTEIN_3333	NAMP	0.07
PROTEIN_3334	AMP	0.96
PROTEIN_3335	AMP	0.99
PROTEIN_3336	AMP	0.75
PROTEIN_3337	NAMP	0.01
PROTEIN_3338	NAMP	0.39
PROTEIN_3339	AMP	0.80
PROTEIN_3340	AMP	0.90
PROTEIN_3341	AMP	0.80
PROTEIN_3342	NAMP	0.00
PROTEIN_3343	AMP	0.69
PROTEIN_3344	AMP	0.81
PROTEIN_3345	AMP	0.94
PROTEIN_3346	AMP	0.98
PROTEIN_3347	AMP	0.98
PROTEIN_3348	AMP	0.72
PROTEIN_3349	AMP	0.96
PROTEIN_3350	NAMP	0.37
PROTEIN_3351	AMP	0.91
PROTEIN_3352	NAMP	0.25
PROTEIN_3353	AMP	0.98
PROTEIN_3354	AMP	0.76
PROTEIN_3355	AMP	0.82
PROTEIN_3356	AMP	0.98
PROTEIN_3357	NAMP	0.39
PROTEIN_3358	AMP	0.81
PROTEIN_3359	AMP	0.68
PROTEIN_3360	NAMP	0.33
PROTEIN_3361	NAMP	0.02
PROTEIN_3362	AMP	0.80
PROTEIN_3363	AMP	0.70
PROTEIN_3364	AMP	0.71
PROTEIN_3365	AMP	0.86
PROTEIN_3366	AMP	0.97
PROTEIN_3367	NAMP	0.44
PROTEIN_3368	NAMP	0.16
PROTEIN_3369	NAMP	0.44
PROTEIN_3370	AMP	0.81
PROTEIN_3371	AMP	0.64
PROTEIN_3372	AMP	0.67
PROTEIN_3373	AMP	0.89
PROTEIN_3374	NAMP	0.11
PROTEIN_3375	AMP	0.60
PROTEIN_3376	AMP	0.56
PROTEIN_3377	AMP	0.90
PROTEIN_3378	AMP	0.52
PROTEIN_3379	AMP	0.97
PROTEIN_3380	NAMP	0.37
PROTEIN_3381	AMP	0.85
PROTEIN_3382	AMP	0.77
PROTEIN_3383	AMP	0.97
PROTEIN_3384	AMP	0.94
PROTEIN_3385	AMP	0.82
PROTEIN_3386	NAMP	0.44
PROTEIN_3387	NAMP	0.03
PROTEIN_3388	AMP	0.88
PROTEIN_3389	AMP	0.96
PROTEIN_3390	AMP	0.84
PROTEIN_3391	AMP	0.77
PROTEIN_3392	AMP	0.98
PROTEIN_3393	NAMP	0.00
PROTEIN_3394	AMP	0.85
PROTEIN_3395	AMP	0.68
PROTEIN_3396	NAMP	0.15
PROTEIN_3397	AMP	0.73
PROTEIN_3398	AMP	0.58
PROTEIN_3399	NAMP	0.04
PROTEIN_3400	AMP	0.99
PROTEIN_3401	AMP	0.77
PROTEIN_3402	NAMP	0.01
PROTEIN_3403	NAMP	0.11
PROTEIN_3404	AMP	0.97
PROTEIN_3405	AMP	0.90
PROTEIN_3406	AMP	0.54
PROTEIN_3407	NAMP	0.01
PROTEIN_3408	AMP	0.51
PROTEIN_3409	NAMP	0.36
PROTEIN_3410	AMP	0.72
PROTEIN_3411	AMP	0.70
PROTEIN_3412	AMP	0.92
PROTEIN_3413	NAMP	0.34
PROTEIN_3414	AMP	0.98
PROTEIN_3415	NAMP	0.07
PROTEIN_3416	NAMP	0.14
PROTEIN_3417	AMP	0.94
PROTEIN_3418	AMP	0.57
PROTEIN_3419	AMP	0.76
PROTEIN_3420	NAMP	0.32
PROTEIN_3421	AMP	0.90
PROTEIN_3422	AMP	0.84
PROTEIN_3423	AMP	0.84
PROTEIN_3424	NAMP	0.12
PROTEIN_3425	AMP	0.87
PROTEIN_3426	NAMP	0.02
PROTEIN_3427	NAMP	0.07
PROTEIN_3428	AMP	0.89
PROTEIN_3429	AMP	1.00
PROTEIN_3430	AMP	0.69
PROTEIN_3431	NAMP	0.00
PROTEIN_3432	AMP	0.73
PROTEIN_3433	AMP	0.70
PROTEIN_3434	NAMP	0.04
PROTEIN_3435	AMP	0.94
PROTEIN_3436	AMP	0.65
PROTEIN_3437	NAMP	0.50
PROTEIN_3438	NAMP	0.27
PROTEIN_3439	AMP	0.98
PROTEIN_3440	AMP	0.97
PROTEIN_3441	NAMP	0.42
PROTEIN_3442	NAMP	0.42
PROTEIN_3443	AMP	0.70
PROTEIN_3444	NAMP	0.39
PROTEIN_3445	AMP	0.77
PROTEIN_3446	NAMP	0.22
PROTEIN_3447	AMP	0.90
PROTEIN_3448	AMP	0.90
PROTEIN_3449	AMP	0.72
PROTEIN_3450	AMP	0.79
PROTEIN_3451	NAMP	0.02
PROTEIN_3452	AMP	0.90
PROTEIN_3453	NAMP	0.45
PROTEIN_3454	AMP	0.97
PROTEIN_3455	AMP	0.84
PROTEIN_3456	AMP	0.98
PROTEIN_3457	AMP	0.97
PROTEIN_3458	AMP	0.94
PROTEIN_3459	AMP	0.83
PROTEIN_3460	NAMP	0.00
PROTEIN_3461	AMP	0.98
PROTEIN_3462	NAMP	0.19
PROTEIN_3463	AMP	0.73
PROTEIN_3464	AMP	0.82
PROTEIN_3465	NAMP	0.10
PROTEIN_3466	AMP	0.96
PROTEIN_3467	NAMP	0.18
PROTEIN_3468	AMP	0.91
PROTEIN_3469	AMP	0.89
PROTEIN_3470	NAMP	0.34
PROTEIN_3471	AMP	0.88
PROTEIN_3472	AMP	0.81
PROTEIN_3473	AMP	0.54
PROTEIN_3474	NAMP	0.32
PROTEIN_3475	AMP	0.98
PROTEIN_3476	AMP	0.66
PROTEIN_3477	NAMP	0.27
PROTEIN_3478	AMP	0.83
PROTEIN_3479	AMP	0.72
PROTEIN_3480	NAMP	0.00
PROTEIN_3481	AMP	0.72
PROTEIN_3482	AMP	0.68
PROTEIN_3483	AMP	0.93
PROTEIN_3484	NAMP	0.16
PROTEIN_3485	NAMP	0.24
PROTEIN_3486	NAMP	0.00
PROTEIN_3487	AMP	0.84
PROTEIN_3488	AMP	0.97
PROTEIN_3489	AMP	0.51
PROTEIN_3490	NAMP	0.00
PROTEIN_3491	NAMP	0.16
PROTEIN_3492	AMP	0.91
PROTEIN_3493	AMP	0.78
PROTEIN_3494	NAMP	0.46
PROTEIN_3495	AMP	0.96
PROTEIN_3496	AMP	0.91
PROTEIN_3497	AMP	0.96
PROTEIN_3498	AMP	0.55
PROTEIN_3499	AMP	0.66
PROTEIN_3500	NAMP	0.17
PROTEIN_3501	AMP	0.71
PROTEIN_3502	AMP	0.98
PROTEIN_3503	NAMP	0.00
PROTEIN_3504	AMP	0.55
PROTEIN_3505	AMP	0.95
PROTEIN_3506	AMP	0.66
PROTEIN_3507	AMP	0.66
PROTEIN_3508	NAMP	0.01
PROTEIN_3509	AMP	0.88
PROTEIN_3510	AMP	0.80
PROTEIN_3511	AMP	0.92
PROTEIN_3512	AMP	0.85
PROTEIN_3513	NAMP	0.35
PROTEIN_3514	AMP	0.96
PROTEIN_3515	AMP	0.93
PROTEIN_3516	NAMP	0.24
PROTEIN_3517	AMP	0.52
PROTEIN_3518	NAMP	0.48
PROTEIN_3519	AMP	0.69
PROTEIN_3520	AMP	0.95
PROTEIN_3521	AMP	0.93
PROTEIN_3522	NAMP	0.34
PROTEIN_3523	AMP	0.78
PROTEIN_3524	AMP	0.50
PROTEIN_3525	AMP	0.78
PROTEIN_3526	AMP	0.93
PROTEIN_3527	AMP	0.97
PROTEIN_3528	AMP	0.53
PROTEIN_3529	AMP	0.58
PROTEIN_3530	AMP	0.99
PROTEIN_3531	AMP	0.71
PROTEIN_3532	AMP	0.98
PROTEIN_3533	AMP	0.88
PROTEIN_3534	NAMP	0.46
PROTEIN_3535	AMP	0.94
PROTEIN_3536	NAMP	0.19
PROTEIN_3537	AMP	0.89
PROTEIN_3538	AMP	0.97
PROTEIN_3539	AMP	0.87
PROTEIN_3540	NAMP	0.49
PROTEIN_3541	NAMP	0.21
PROTEIN_3542	NAMP	0.48
PROTEIN_3543	AMP	0.99
PROTEIN_3544	AMP	0.64
PROTEIN_3545	AMP	0.86
PROTEIN_3546	NAMP	0.48
PROTEIN_3547	NAMP	0.01
PROTEIN_3548	NAMP	0.10
PROTEIN_3549	AMP	0.87
PROTEIN_3550	NAMP	0.15
PROTEIN_3551	NAMP	0.29
PROTEIN_3552	AMP	0.86
PROTEIN_3553	AMP	0.50
PROTEIN_3554	AMP	0.87
PROTEIN_3555	AMP	0.82
PROTEIN_3556	AMP	0.77
PROTEIN_3557	AMP	0.95
PROTEIN_3558	AMP	0.96
PROTEIN_3559	AMP	0.94
PROTEIN_3560	AMP	0.90
PROTEIN_3561	AMP	0.91
PROTEIN_3562	NAMP	0.49
PROTEIN_3563	AMP	0.97
PROTEIN_3564	AMP	0.81
PROTEIN_3565	AMP	0.91
PROTEIN_3566	AMP	0.89
PROTEIN_3567	AMP	0.93
PROTEIN_3568	NAMP	0.40
PROTEIN_3569	AMP	0.93
PROTEIN_3570	AMP	0.59
PROTEIN_3571	AMP	0.98
PROTEIN_3572	AMP	0.51
PROTEIN_3573	NAMP	0.21
PROTEIN_3574	AMP	0.63
PROTEIN_3575	AMP	0.84
PROTEIN_3576	NAMP	0.01
PROTEIN_3577	AMP	0.66
PROTEIN_3578	AMP	0.90
PROTEIN_3579	NAMP	0.07
PROTEIN_3580	AMP	0.82
PROTEIN_3581	NAMP	0.48
PROTEIN_3582	NAMP	0.45
PROTEIN_3583	AMP	0.97
PROTEIN_3584	AMP	0.97
PROTEIN_3585	NAMP	0.24
PROTEIN_3586	NAMP	0.19
PROTEIN_3587	AMP	0.91
PROTEIN_3588	AMP	0.77
PROTEIN_3589	AMP	0.95
PROTEIN_3590	AMP	0.96
PROTEIN_3591	AMP	0.99
PROTEIN_3592	NAMP	0.07
PROTEIN_3593	NAMP	0.13
PROTEIN_3594	AMP	0.86
PROTEIN_3595	AMP	0.89
PROTEIN_3596	AMP	0.86
PROTEIN_3597	NAMP	0.49
PROTEIN_3598	AMP	0.73
PROTEIN_3599	AMP	0.92
PROTEIN_3600	AMP	0.64
PROTEIN_3601	NAMP	0.47
PROTEIN_3602	NAMP	0.14
PROTEIN_3603	AMP	0.98
PROTEIN_3604	AMP	0.73
PROTEIN_3605	NAMP	0.02
PROTEIN_3606	NAMP	0.05
PROTEIN_3607	NAMP	0.08
PROTEIN_3608	AMP	0.75
PROTEIN_3609	AMP	0.93
PROTEIN_3610	AMP	0.97
PROTEIN_3611	AMP	0.72
PROTEIN_3612	AMP	0.77
PROTEIN_3613	NAMP	0.32
PROTEIN_3614	AMP	0.60
PROTEIN_3615	NAMP	0.11
PROTEIN_3616	AMP	0.80
PROTEIN_3617	NAMP	0.10
PROTEIN_3618	NAMP	0.34
PROTEIN_3619	NAMP	0.27
PROTEIN_3620	AMP	0.90
PROTEIN_3621	AMP	0.79
PROTEIN_3622	AMP	0.68
PROTEIN_3623	AMP	0.55
PROTEIN_3624	NAMP	0.00
PROTEIN_3625	AMP	0.52
PROTEIN_3626	NAMP	0.05
PROTEIN_3627	AMP	0.83
PROTEIN_3628	AMP	0.99
PROTEIN_3629	NAMP	0.00
PROTEIN_3630	AMP	0.98
PROTEIN_3631	NAMP	0.05
PROTEIN_3632	AMP	0.67
PROTEIN_3633	NAMP	0.37
PROTEIN_3634	AMP	0.92
PROTEIN_3635	AMP	0.76
PROTEIN_3636	AMP	1.00
PROTEIN_3637	NAMP	0.31
PROTEIN_3638	NAMP	0.32
PROTEIN_3639	NAMP	0.13
PROTEIN_3640	AMP	0.90
PROTEIN_3641	AMP	0.90
PROTEIN_3642	AMP	0.90
PROTEIN_3643	NAMP	0.24
PROTEIN_3644	AMP	0.90
PROTEIN_3645	AMP	0.84
PROTEIN_3646	AMP	0.91
PROTEIN_3647	NAMP	0.42
PROTEIN_3648	NAMP	0.35
PROTEIN_3649	AMP	0.74
PROTEIN_3650	NAMP	0.30
PROTEIN_3651	AMP	0.57
PROTEIN_3652	AMP	0.65
PROTEIN_3653	NAMP	0.09
PROTEIN_3654	AMP	0.89
PROTEIN_3655	AMP	0.95
PROTEIN_3656	NAMP	0.15
PROTEIN_3657	AMP	0.81
PROTEIN_3658	AMP	0.99
PROTEIN_3659	NAMP	0.19
PROTEIN_3660	NAMP	0.18
PROTEIN_3661	NAMP	0.42
PROTEIN_3662	AMP	0.91
PROTEIN_3663	NAMP	0.15
PROTEIN_3664	AMP	0.96
PROTEIN_3665	AMP	0.78
PROTEIN_3666	AMP	0.98
PROTEIN_3667	AMP	0.58
PROTEIN_3668	AMP	0.72
PROTEIN_3669	NAMP	0.24
PROTEIN_3670	AMP	0.97
PROTEIN_3671	NAMP	0.02
PROTEIN_3672	NAMP	0.00
PROTEIN_3673	AMP	0.54
PROTEIN_3674	NAMP	0.35
PROTEIN_3675	AMP	0.70
PROTEIN_3676	AMP	0.93
PROTEIN_3677	AMP	0.84
PROTEIN_3678	NAMP	0.03
PROTEIN_3679	NAMP	0.48
PROTEIN_3680	AMP	0.67
PROTEIN_3681	AMP	0.94
PROTEIN_3682	AMP	0.91
PROTEIN_3683	AMP	0.74
PROTEIN_3684	AMP	0.98
PROTEIN_3685	NAMP	0.01
PROTEIN_3686	AMP	0.73
PROTEIN_3687	NAMP	0.48
PROTEIN_3688	AMP	0.72
PROTEIN_3689	AMP	0.94
PROTEIN_3690	AMP	0.69
PROTEIN_3691	AMP	1.00
PROTEIN_3692	AMP	0.65
PROTEIN_3693	AMP	0.82
PROTEIN_3694	AMP	0.68
PROTEIN_3695	AMP	0.83
PROTEIN_3696	AMP	0.63
PROTEIN_3697	AMP	0.98
PROTEIN_3698	AMP	0.98
PROTEIN_3699	AMP	0.65
PROTEIN_3700	AMP	0.84
PROTEIN_3701	AMP	0.78
PROTEIN_3702	AMP	0.92
PROTEIN_3703	AMP	0.92
PROTEIN_3704	AMP	0.95
PROTEIN_3705	NAMP	0.01
PROTEIN_3706	AMP	0.52
PROTEIN_3707	NAMP	0.48
PROTEIN_3708	AMP	0.98
PROTEIN_3709	AMP	0.51
PROTEIN_3710	NAMP	0.16
PROTEIN_3711	NAMP	0.00
PROTEIN_3712	AMP	0.69
PROTEIN_3713	AMP	0.65
PROTEIN_3714	NAMP	0.27
PROTEIN_3715	NAMP	0.24
PROTEIN_3716	AMP	0.86
PROTEIN_3717	AMP	0.76
PROTEIN_3718	AMP	0.75
PROTEIN_3719	AMP	0.97
PROTEIN_3720	NAMP	0.06
PROTEIN_3721	AMP	0.82
PROTEIN_3722	AMP	0.93
PROTEIN_3723	NAMP	0.01
PROTEIN_3724	NAMP	0.04
PROTEIN_3725	AMP	0.99
PROTEIN_3726	NAMP	0.00
PROTEIN_3727	AMP	0.99
PROTEIN_3728	AMP	0.86
PROTEIN_3729	AMP	0.95
PROTEIN_3730	AMP	0.72
PROTEIN_3731	NAMP	0.07
PROTEIN_3732	AMP	0.66
PROTEIN_3733	AMP	0.78
PROTEIN_3734	AMP	0.96
PROTEIN_3735	NAMP	0.01
PROTEIN_3736	NAMP	0.31
PROTEIN_3737	AMP	0.89
PROTEIN_3738	AMP	0.87
PROTEIN_3739	AMP	0.99
PROTEIN_3740	AMP	0.71
PROTEIN_3741	AMP	0.76
PROTEIN_3742	NAMP	0.33
PROTEIN_3743	AMP	0.54
PROTEIN_3744	AMP	0.98
PROTEIN_3745	NAMP	0.19
PROTEIN_3746	AMP	0.86
PROTEIN_3747	NAMP	0.01
PROTEIN_3748	AMP	0.89
PROTEIN_3749	AMP	0.59
PROTEIN_3750	AMP	0.93
PROTEIN_3751	AMP	0.75
PROTEIN_3752	NAMP	0.05
PROTEIN_3753	NAMP	0.02
PROTEIN_3754	NAMP	0.43
PROTEIN_3755	NAMP	0.19
PROTEIN_3756	AMP	0.96
PROTEIN_3757	NAMP	0.07
PROTEIN_3758	AMP	0.55
PROTEIN_3759	NAMP	0.14
PROTEIN_3760	AMP	0.94
PROTEIN_3761	NAMP	0.43
PROTEIN_3762	AMP	0.78
PROTEIN_3763	AMP	0.84
PROTEIN_3764	AMP	0.65
PROTEIN_3765	AMP	0.92
PROTEIN_3766	AMP	0.93
PROTEIN_3767	AMP	0.81
PROTEIN_3768	AMP	0.82
PROTEIN_3769	AMP	0.72
PROTEIN_3770	NAMP	0.25
PROTEIN_3771	NAMP	0.24
PROTEIN_3772	AMP	0.88
PROTEIN_3773	AMP	0.75
PROTEIN_3774	AMP	0.90
PROTEIN_3775	AMP	0.96
PROTEIN_3776	AMP	0.74
PROTEIN_3777	AMP	0.93
PROTEIN_3778	AMP	0.63
PROTEIN_3779	AMP	0.95
PROTEIN_3780	AMP	0.70
PROTEIN_3781	AMP	0.97
PROTEIN_3782	NAMP	0.15
PROTEIN_3783	NAMP	0.08
PROTEIN_3784	AMP	0.69
PROTEIN_3785	NAMP	0.15
PROTEIN_3786	AMP	0.88
PROTEIN_3787	AMP	0.53
PROTEIN_3788	NAMP	0.07
PROTEIN_3789	AMP	0.97
PROTEIN_3790	AMP	0.94
PROTEIN_3791	AMP	0.83
PROTEIN_3792	AMP	1.00
PROTEIN_3793	AMP	0.77
PROTEIN_3794	NAMP	0.14
PROTEIN_3795	AMP	0.95
PROTEIN_3796	AMP	0.92
PROTEIN_3797	AMP	0.80
PROTEIN_3798	AMP	0.78
PROTEIN_3799	AMP	0.98
PROTEIN_3800	AMP	0.97
PROTEIN_3801	AMP	1.00
PROTEIN_3802	AMP	0.96
PROTEIN_3803	AMP	0.79
PROTEIN_3804	AMP	0.94
PROTEIN_3805	NAMP	0.02
PROTEIN_3806	AMP	0.82
PROTEIN_3807	AMP	0.96
PROTEIN_3808	AMP	0.87
PROTEIN_3809	AMP	0.97
PROTEIN_3810	AMP	0.99
PROTEIN_3811	NAMP	0.32
PROTEIN_3812	AMP	0.99
PROTEIN_3813	AMP	0.67
PROTEIN_3814	AMP	0.57
PROTEIN_3815	NAMP	0.44
PROTEIN_3816	NAMP	0.28
PROTEIN_3817	AMP	0.99
PROTEIN_3818	AMP	0.88
PROTEIN_3819	AMP	0.82
PROTEIN_3820	AMP	0.98
PROTEIN_3821	NAMP	0.35
PROTEIN_3822	AMP	0.83
PROTEIN_3823	NAMP	0.35
PROTEIN_3824	AMP	0.93
PROTEIN_3825	NAMP	0.09
PROTEIN_3826	NAMP	0.07
PROTEIN_3827	AMP	0.99
PROTEIN_3828	AMP	0.85
PROTEIN_3829	AMP	0.97
PROTEIN_3830	AMP	0.95
PROTEIN_3831	AMP	0.90
PROTEIN_3832	AMP	0.81
PROTEIN_3833	AMP	0.56
PROTEIN_3834	AMP	0.77
PROTEIN_3835	NAMP	0.01
PROTEIN_3836	AMP	0.96
PROTEIN_3837	AMP	0.61
PROTEIN_3838	AMP	0.88
PROTEIN_3839	AMP	0.92
PROTEIN_3840	AMP	0.87
PROTEIN_3841	AMP	0.95
PROTEIN_3842	AMP	0.94
PROTEIN_3843	AMP	0.66
PROTEIN_3844	AMP	0.71
PROTEIN_3845	AMP	0.74
PROTEIN_3846	AMP	0.92
PROTEIN_3847	AMP	0.98
PROTEIN_3848	AMP	0.91
PROTEIN_3849	AMP	0.96
PROTEIN_3850	AMP	0.91
PROTEIN_3851	AMP	0.95
PROTEIN_3852	NAMP	0.34
PROTEIN_3853	NAMP	0.32
PROTEIN_3854	NAMP	0.02
PROTEIN_3855	NAMP	0.23
PROTEIN_3856	AMP	0.86
PROTEIN_3857	NAMP	0.49
PROTEIN_3858	NAMP	0.04
PROTEIN_3859	AMP	0.91
PROTEIN_3860	AMP	0.85
PROTEIN_3861	NAMP	0.04
PROTEIN_3862	AMP	0.92
PROTEIN_3863	AMP	0.82
PROTEIN_3864	AMP	0.88
PROTEIN_3865	AMP	0.62
PROTEIN_3866	NAMP	0.02
PROTEIN_3867	AMP	0.85
PROTEIN_3868	AMP	0.70
